"county_fips","pop_hs_less","pop_hs","pop_college","pop_bs_more","pct_pop_hs_less","pct_pop_hs","pct_pop_college","pct_pop_bs_more","pop_poverty","pct_pop_poverty","med_house_inc","unemploy_rate","pop_labor_force","pop_employed","pop_unemployed"
47161,1370,4044,2696,1415,14.4,42.5,28.3,14.9,1867,13.9,46565,5,5176,4917,259
47163,15302,39550,33055,25934,13.4,34.7,29,22.8,25549,16.5,46024,3.7,70100,67509,2591
47165,12315,38135,39067,33020,10.1,31.1,31.9,26.9,16426,8.9,66171,2.8,98706,95960,2746
47167,5356,15694,12945,6809,13.1,38.5,31.7,16.7,7240,12,60874,4.2,27895,26719,1176
47169,1307,2291,1879,1108,19.8,34.8,28.5,16.8,1570,18.6,49280,3.3,4888,4729,159
47171,2031,5332,3859,1953,15.4,40.5,29.3,14.8,2797,16.1,43688,4.9,7065,6719,346
47173,3236,6263,2954,1162,23.8,46,21.7,8.5,3858,19.8,40322,4.1,7463,7159,304
47175,855,2115,914,363,20.1,49.8,21.5,8.5,918,16.3,38265,4.7,2046,1949,97
47177,5794,11915,6133,3879,20.9,43,22.1,14,9025,22.5,42475,3.9,16736,16075,661
47179,9861,24962,23877,28075,11.4,28.8,27.5,32.4,18528,14.9,49242,3.5,59859,57747,2112
47181,2477,5417,2939,1363,20.3,44.4,24.1,11.2,3066,21.3,38879,4.9,6109,5811,298
47183,3368,8156,5332,4629,15.7,38,24.8,21.5,6252,19.7,42351,4.2,16008,15333,675
47185,3330,8103,4703,2525,17.8,43.4,25.2,13.5,4612,17.3,42603,3.7,11907,11468,439
47187,6286,19139,32654,83611,4.4,13.5,23,59,8794,3.8,115930,2.5,123205,120149,3056
47189,8013,27216,27862,27857,8.8,29.9,30.6,30.6,10888,7.8,76507,2.8,73090,71059,2031
48000,2993432,4448881,5153577,5219469,16.8,25,28.9,29.3,4181623,14.9,60632,3.9,13848080,13314203,533877
48001,8351,15224,13503,4931,19.9,36.2,32.1,11.7,8778,19.8,45969,3.1,23561,22833,728
